title,job_type,job_local,num,realtime
TEG11-数据挖掘研究员（北京）,技术类,北京,2,2018/11/6
TME-音乐分析及搜索算法工程师（深圳）,技术类,深圳,1,2018/11/6
TME-歌声算法工程师（深圳）,技术类,深圳,1,2018/11/6
22989-音视频研发高级工程师（深圳）,技术类,深圳,2,2018/11/6
22989-音视频资深开发工程师,技术类,深圳,2,2018/11/6
S2-运维开发工程师（深圳）,技术类,深圳,1,2018/11/6
PCG07-微视内容运营编辑,内容编辑类,深圳,1,2018/11/6
PCG07-商业化产品运营经理,产品/项目类,深圳,1,2018/11/6
22851-腾讯视频娱乐中心渠道内容运营(北京),内容编辑类,北京,1,2018/11/6
22989-iOS 开发高级工程师,技术类,深圳,2,2018/11/6
PCG07-微视高级后台软件工程师（深圳）,技术类,深圳,2,2018/11/6
21062-高级3D游戏特效师(深圳）,设计类,深圳,1,2018/11/6
22086-腾讯体育电商品类运营及拓展经理（北京）,产品/项目类,北京,1,2018/11/6
22086-腾讯体育前端开发工程师（北京）,技术类,北京,1,2018/11/6
15612-高级技术美术(北京),设计类,北京,2,2018/11/6
TEG02-SD-WAN开发工程师（深圳）,技术类,深圳,1,2018/11/6
21062-高级动作游戏动画师(深圳）,设计类,深圳,1,2018/11/6
17759-腾讯视频商城活动策划（北京）,市场类,北京,1,2018/11/6
22989-Android 开发高级工程师,技术类,深圳,2,2018/11/6
28600-212 微信支付资金产品经理（深圳）,产品/项目类,深圳,1,2018/11/6
23671-企鹅号运营经理（内容产品方向,产品/项目类,北京,1,2018/11/6
SA-腾讯社交广告商业化产品经理（QQ广告 深圳）,产品/项目类,深圳,2,2018/11/6
23674-腾讯新闻社区产品运营,产品/项目类,北京,2,2018/11/6
22989-大数据应用研发一组组长,技术类,深圳,1,2018/11/6
22989-腾讯云售后技术支持工程师（视频云）（北京）,技术类,北京,2,2018/11/6
21087-手游社区与用户管理运营(深圳),产品/项目类,深圳,1,2018/11/6
HY6-互娱推广策划经理-营销方向,市场类,深圳,1,2018/11/6
21087-MMORPG官网运营（深圳）,产品/项目类,深圳,1,2018/11/6
21087-手游版本管理运营(深圳),产品/项目类,深圳,1,2018/11/6
TEG03-机器学习高级研究员（深圳）,技术类,深圳,2,2018/11/6
15575-天美L1预研海外手游3D特效设计师（成都）,设计类,成都,1,2018/11/6
CSIG16-客户端开发工程师,技术类,北京,1,2018/11/6
18796-创新业务后台开发工程师（深圳）,技术类,深圳,1,2018/11/6
15612-资源策划（北京）,产品/项目类,北京,2,2018/11/6
S2-投资公司管理经理（深圳）,职能类,深圳,1,2018/11/6
28607-122 微信支付高级推荐算法工程师（深圳）,技术类,深圳,1,2018/11/6
28604-113 微信支付支付应用开发工程师（深圳）,技术类,深圳,1,2018/11/6
TEG04-智慧校园产品策划经理（深圳）,产品/项目类,深圳,1,2018/11/6
PCG20-部门秘书（北京）,职能类,北京,1,2018/11/6
15612-MMORPG剧情策划师（北京）,产品/项目类,北京,2,2018/11/6
TME-中央曲库数据产品经理（深圳）,产品/项目类,深圳,1,2018/11/6
27092-应用宝后台开发工程师（深圳）,技术类,深圳,2,2018/11/6
21527-腾讯音乐Oracle EBS高级开发工程师（北京）,技术类,北京,1,2018/11/6
PCG09-内容平台高级后台开发工程师（上海）,技术类,上海,1,2018/11/6
PCG04-安全测试组长,技术类,深圳,1,2018/11/6
15579-次世代3D场景美术（深圳）,设计类,深圳,2,2018/11/6
PCG15-用户增长leader,产品/项目类,深圳,1,2018/11/6
CSIG16-质量评测研发工程师,技术类,北京,1,2018/11/6
PCG15-web前端开发（专场）（深圳）,技术类,深圳,5,2018/11/6
WXG08-113 微信深度学习后台开发工程师（北京）,技术类,北京,1,2018/11/6
CSIG15-腾讯叮当TVS后台开发高级工程师（深圳）,技术类,深圳,1,2018/11/6
15612-战斗策划（北京）,产品/项目类,北京,2,2018/11/6
29314-合资公司CFO（北京）,职能类,北京,1,2018/11/6
23048-浏览器高级算法工程师,技术类,北京,1,2018/11/6
WXG09-331 微信海外市场经理（广州）,市场类,广州,1,2018/11/6
28607-122 微信支付自然语言处理高级工程师（深圳）,技术类,深圳,1,2018/11/6
CSIG16-地图导航引擎开发工程师（北京）,技术类,北京,1,2018/11/6
29316-深圳腾讯教育科技有限公司人力资源总监（武汉）,职能类,武汉,1,2018/11/6
22989-腾讯云web前端高级工程师,技术类,深圳,2,2018/11/6
SA-腾讯社交广告联盟广告产品经理（北京）,产品/项目类,北京,1,2018/11/6
23486-证券产品策划经理,产品/项目类,深圳,1,2018/11/6
PCG04-安全测试专家（后台服务/客户端）,技术类,深圳,1,2018/11/6
PCG09-数据平台开发工程师（上海）,技术类,上海,1,2018/11/6
RP-WEB前端开发工程师（深圳）,技术类,深圳,1,2018/11/6
22968-华北饮料行业销售（北京）,市场类,北京,2,2018/11/6
CSIG16-地图数据Web前端研发工程师,技术类,北京,1,2018/11/6
CSIG16-数据分析产品经理,产品/项目类,北京,1,2018/11/6
CSIG16-车联网产品经理（智能语音客户端产品）（北京）,产品/项目类,北京,1,2018/11/6
25663-金融云产品总监,产品/项目类,深圳,1,2018/11/6
23486-证券投资研究产品经理,产品/项目类,北京,1,2018/11/6
22989-金融算法专家,技术类,北京,1,2018/11/6
CSIG17-高级测试工程师（深圳）,技术类,深圳,4,2018/11/6
CSIG16-自动驾驶车厂合作BD,市场类,北京,1,2018/11/6
CSIG16-数据系统高级开发工程师,技术类,北京,1,2018/11/6
CSIG16-车联网Android开发高级工程师(主线),技术类,北京,1,2018/11/6
21062-游戏全球发行负责人（上海）,产品/项目类,上海,1,2018/11/6
21309-IT互联网类目经理（深圳）,产品/项目类,深圳,1,2018/11/6
21309-IT互联网类目经理（高校/企业渠道扩展方向-深圳）,产品/项目类,深圳,1,2018/11/6
22086-腾讯体育交互设计师（北京）,设计类,北京,1,2018/11/6
15571-unity客户端开发工程师（深圳）,技术类,深圳,2,2018/11/6
21882-医疗咨询产品中心-高级视觉设计师（深圳）,设计类,深圳,1,2018/11/6
PCG06-交互设计师（深圳）,设计类,深圳,1,2018/11/6
21309-腾讯课堂设计培训类目组长或副组长（深圳）,产品/项目类,深圳,1,2018/11/6
21062-音频程序员（上海）,技术类,上海,1,2018/11/6
22989-金融算法专家,技术类,深圳,1,2018/11/6
28605-114 微信支付国际化业务开发工程师（深圳）,技术类,深圳,4,2018/11/6
PCG06-视觉设计师（深圳）,设计类,深圳,1,2018/11/6
SHR-培训leader（深圳）,职能类,深圳,1,2018/11/6
25926-手游客户端安全工程师（深圳）,技术类,深圳,1,2018/11/6
PCG10-QQ浏览器Android客户端开发工程师（成都）,技术类,成都,1,2018/11/6
15570-FPS系统策划（深圳）,产品/项目类,深圳,2,2018/11/6
PCG10-QQ浏览器资讯推荐算法高级工程师（北京）,技术类,北京,1,2018/11/6
27092-应用宝商业化内部合作经理（深圳）,市场类,深圳,1,2018/11/6
18432-微信钱包境外渠道商务拓展经理,市场类,深圳,1,2018/11/6
25926-游戏安全机器学习工程师（深圳）,技术类,深圳,1,2018/11/6
22968-行业大客户销售经理,市场类,北京,1,2018/11/6
PCG14-应用宝Android终端开发工程师（深圳）,技术类,深圳,1,2018/11/6
15585-互娱游戏数值策划(深圳),产品/项目类,深圳,1,2018/11/6
TEG10-高级规划架构师（深圳）,技术类,深圳,2,2018/11/6
28302-start项目GPU系统工程师（深圳）,技术类,深圳,1,2018/11/6
21228-火箭联盟手游活动与社区运营（深圳）,产品/项目类,深圳,1,2018/11/6
17757-原创内容安全管理（北京）,内容编辑类,北京,1,2018/11/6
TEG09-CDN架构专家工程师（深圳）,技术类,深圳,1,2018/11/6
CSIG16-车联网Android开发高级工程师(适配),技术类,北京,1,2018/11/6
28600-211 微信支付金融业务产品运营经理（深圳）,产品/项目类,深圳,1,2018/11/6
TEG10-规划项目经理（深圳）,产品/项目类,深圳,1,2018/11/6
ZSC-专利工程师,职能类,深圳,1,2018/11/6
22089-腾讯体育经纪宣发岗位（北京）,内容编辑类,北京,2,2018/11/6
TEG09-视频AI处理资深工程师（深圳）,技术类,深圳,2,2018/11/6
23671-企鹅号统筹制片人（北京）,产品/项目类,北京,2,2018/11/6
腾讯体育足球编辑（北京）,内容编辑类,北京,1,2018/11/6
26563-游戏平台运营,产品/项目类,上海,3,2018/11/6
26563-游戏社区运营,产品/项目类,深圳,1,2018/11/6
RP-校园招聘雇主品牌经理（北京）,职能类,北京,1,2018/11/6
26563-游戏平台运营（深圳）,产品/项目类,深圳,3,2018/11/6
26563-游戏社区运营,产品/项目类,上海,1,2018/11/6
24012-影视视觉美术（上海）,设计类,上海,2,2018/11/6
22989-web前端开发工程师（深圳/上海）,技术类,深圳,2,2018/11/6
22989-CSIG12-数据库产品经理（成都/深圳/北京）,产品/项目类,北京,1,2018/11/6
22989-CSIG12-数据库产品经理（成都/深圳/北京）,产品/项目类,成都,1,2018/11/6
22989-web前端开发工程师（深圳/上海/北京）,技术类,上海,2,2018/11/6
22989-资深算法工程师,技术类,深圳,2,2018/11/6
TEG02-边缘计算平台架构工程师,技术类,深圳,1,2018/11/6
TEG02-边缘计算平台架构工程师,技术类,北京,1,2018/11/6
17520-互娱3D角色美术师(深圳),设计类,深圳,1,2018/11/6
RP-企业管理类产品产品经理（深圳）,产品/项目类,深圳,1,2018/11/6
S2-应付账款运营经理（深圳）,职能类,深圳,2,2018/11/6
15573-手游3D场景美术（深圳）,设计类,深圳,1,2018/11/6
22989-资深算法工程师,技术类,上海,2,2018/11/6
22989-腾讯云计费PHP高级开发工程师,技术类,深圳,2,2018/11/6
21557-视频引擎开发工程师（北京/深圳）,技术类,深圳,1,2018/11/6
21557-视频编解码算法工程师(深圳/北京),技术类,深圳,1,2018/11/6
26564-渠道运营经理（深圳）,产品/项目类,深圳,1,2018/11/6
TEG07-CDC高级视觉设计师（北京）,设计类,北京,1,2018/11/6
27563-女性向产品评测（韩语方向）（深圳）,产品/项目类,深圳,1,2018/11/6
16078-金融行业商务拓展经理（北京）,市场类,北京,1,2018/11/6
21557-产品运营经理（游戏语音云服务方向）（深圳）,产品/项目类,深圳,1,2018/11/6
21062-游戏客户端开发高级工程师（深圳）,技术类,深圳,1,2018/11/6
RP-培训经理兼HRBP（成都）,职能类,成都,1,2018/11/6
28297-高级平台运营经理,产品/项目类,深圳,1,2018/11/6
TEG02-物联网平台前端开发工程师（深圳）,技术类,深圳,1,2018/11/6
TEG02-物联网平台前端开发工程师（北京）,技术类,北京,1,2018/11/6
TEG02-物联网平台架构工程师（深圳）,技术类,深圳,1,2018/11/6
TEG02-物联网平台后台开发工程师（深圳）,技术类,深圳,1,2018/11/6
TEG02-物联网平台后台开发工程师（北京）,技术类,北京,1,2018/11/6
PCG20-企业文化高级经理（北京/深圳）,职能类,深圳,1,2018/11/6
18402-MMORPG主策划/高级策划（深圳）,产品/项目类,深圳,1,2018/11/6
25663-腾讯云高级后台开发(互联网业务)（北京）,技术类,北京,1,2018/11/6
SA-腾讯社交广告数据应用产品经理（深圳/上海）,产品/项目类,深圳,1,2018/11/6
SA-腾讯社交广告数据应用产品经理（深圳/上海）,产品/项目类,上海,1,2018/11/6
15614-天刀3D游戏动画设计师（上海）,设计类,上海,1,2018/11/6
TEG02-物联网平台架构工程师（北京）,技术类,北京,1,2018/11/6
TEG02-物联网无线网架构与规划工程师,技术类,深圳,1,2018/11/6
TEG02-物联网无线网架构与规划工程师,技术类,北京,1,2018/11/6
